State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured	expand_ever	date_adopted	expand_year	expand
Rhode Island	2013	668448	394825	45398	7453	55848	108369	TRUE	2014-01-01	2014	FALSE
South Carolina	2013	2893842	1488260	157885	48012	212888	662340	FALSE	NA	NA	FALSE
South Dakota	2013	501769	275845	57161	4815	24721	79632	FALSE	NA	NA	FALSE
Tennessee	2013	3983560	2103337	266827	69522	341915	796666	FALSE	NA	NA	FALSE
Texas	2013	16065579	8048342	889396	170215	860253	4801933	FALSE	NA	NA	FALSE
Vermont	2013	397726	229664	25511	4265	60081	40764	TRUE	2014-01-01	2014	FALSE
Utah	2013	1701705	1043587	131363	12515	74943	315132	FALSE	NA	NA	FALSE
Virginia	2013	5112923	2942796	351277	71883	210217	877595	TRUE	2019-01-01	2019	FALSE
Washington	2013	4339199	2438505	319981	39784	260263	857900	TRUE	2014-01-01	2014	FALSE
West Virginia	2013	1132703	604382	40015	26462	106437	234112	TRUE	2014-01-01	2014	FALSE
Wisconsin	2013	3544103	2216422	233075	29142	319957	453981	FALSE	NA	NA	FALSE
Wyoming	2013	358526	216771	24884	2482	9975	68855	FALSE	NA	NA	FALSE
Puerto Rico	2013	2183218	637727	232358	63034	882595	197653	NA	NA	NA	FALSE
Alabama	2013	2945466	1538946	206022	63700	194642	593425	FALSE	NA	NA	FALSE
Alaska	2013	459776	240647	15534	2409	29233	109445	TRUE	2015-09-01	2015	FALSE
Arizona	2013	3900900	1927982	271609	45650	406884	917421	TRUE	2014-01-01	2014	FALSE
Arkansas	2013	1759900	861423	113111	44719	116578	424024	TRUE	2014-01-01	2014	FALSE
California	2013	23976518	12219933	1870418	204669	2401040	5743547	TRUE	2014-01-01	2014	FALSE
Colorado	2013	3304940	1821354	316251	27470	214139	622927	TRUE	2014-01-01	2014	FALSE
Delaware	2013	565138	337546	24387	8676	67060	72726	TRUE	2014-01-01	2014	FALSE
District of Columbia	2013	453153	259605	35423	2942	72015	39401	TRUE	2014-01-01	2014	FALSE
Connecticut	2013	2235695	1390606	150628	23431	229069	294202	TRUE	2014-01-01	2014	FALSE
Florida	2013	11646895	5388322	896595	165986	856740	3348787	FALSE	NA	NA	FALSE
Georgia	2013	6151890	3170278	377556	78527	346333	1592629	FALSE	NA	NA	FALSE
Idaho	2013	946943	488391	92552	9766	45797	217465	FALSE	NA	NA	FALSE
Hawaii	2013	822542	495825	49455	7205	74453	79261	TRUE	2014-01-01	2014	FALSE
Illinois	2013	8010771	4718571	521476	83637	695321	1470890	TRUE	2014-01-01	2014	FALSE
Indiana	2013	4008950	2361439	235721	55306	270904	768940	TRUE	2015-02-01	2015	FALSE
Iowa	2013	1868852	1181905	164530	13802	133310	216471	TRUE	2014-01-01	2014	FALSE
Kansas	2013	1730369	1026731	143589	17160	70386	302572	FALSE	NA	NA	FALSE
Kentucky	2013	2687179	1453331	145310	62002	199040	554504	TRUE	2014-01-01	2014	FALSE
Louisiana	2013	2825101	1411019	182468	44087	235413	682349	TRUE	2016-07-01	2016	FALSE
Maine	2013	825507	442336	44933	9126	102896	131236	TRUE	2019-01-10	2019	FALSE
Maryland	2013	3722201	2302902	228221	34108	278620	523097	TRUE	2014-01-01	2014	FALSE
Massachusetts	2013	4272843	2758710	293494	25169	623726	222069	TRUE	2014-01-01	2014	FALSE
Michigan	2013	6096761	3531044	387339	67029	606633	974008	TRUE	2014-04-01	2014	FALSE
Minnesota	2013	3357171	2160999	274990	24005	296194	364258	TRUE	2014-01-01	2014	FALSE
Alabama	2014	2935367	1566977	230176	60790	200928	532900	FALSE	NA	NA	FALSE
Alaska	2014	456278	226871	24808	1820	30596	99446	TRUE	2015-09-01	2015	FALSE
Arizona	2014	3944492	1975003	325299	51043	526114	728386	TRUE	2014-01-01	2014	TRUE
Arkansas	2014	1762235	890527	141773	40291	192970	307576	TRUE	2014-01-01	2014	TRUE
California	2014	24264509	12644131	2255073	216164	3348279	4193432	TRUE	2014-01-01	2014	TRUE
Colorado	2014	3356310	1892675	343154	28268	325825	465925	TRUE	2014-01-01	2014	TRUE
Delaware	2014	567790	345996	31277	9495	68261	59478	TRUE	2014-01-01	2014	TRUE
District of Columbia	2014	461152	257537	42985	2364	87233	30954	TRUE	2014-01-01	2014	TRUE
