State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured	expand_ever	date_adopted	expand_year	expand
District of Columbia	2017	468689	268485	44578	3546	77814	23946	TRUE	2014-01-01	2014	TRUE
Connecticut	2017	2164155	1347265	181849	21910	297239	165397	TRUE	2014-01-01	2014	TRUE
Florida	2017	12081518	5954573	1613271	179089	919725	2301959	FALSE	NA	NA	FALSE
Georgia	2017	6198581	3446687	546179	86292	345615	1165279	FALSE	NA	NA	FALSE
Idaho	2017	964996	537925	114461	8579	54562	149739	FALSE	NA	NA	FALSE
Hawaii	2017	802826	498969	51823	4590	89191	44503	TRUE	2014-01-01	2014	TRUE
Illinois	2017	7669234	4741334	629249	90975	957705	751802	TRUE	2014-01-01	2014	TRUE
Indiana	2017	3910354	2441346	278295	57472	380237	424934	TRUE	2015-02-01	2015	TRUE
Iowa	2017	1825767	1191259	163074	13329	180453	120075	TRUE	2014-01-01	2014	TRUE
Kansas	2017	1671821	1041967	150802	19152	72044	208627	FALSE	NA	NA	FALSE
Kentucky	2017	2607164	1431970	161676	60688	479985	192671	TRUE	2014-01-01	2014	TRUE
Louisiana	2017	2729961	1387475	215347	46934	445036	343373	TRUE	2016-07-01	2016	TRUE
Maine	2017	790011	452782	75809	9109	65702	93127	TRUE	2019-01-10	2019	FALSE
Maryland	2017	3659877	2312288	270517	37991	400427	303845	TRUE	2014-01-01	2014	TRUE
Massachusetts	2017	4235243	2680207	326278	27393	694668	163857	TRUE	2014-01-01	2014	TRUE
Michigan	2017	5913860	3588070	437652	69029	863426	433147	TRUE	2014-04-01	2014	TRUE
Minnesota	2017	3317065	2196551	242850	31456	401675	192986	TRUE	2014-01-01	2014	TRUE
Wisconsin	2018	3429012	2279871	270313	34200	311257	259429	FALSE	NA	NA	FALSE
Wyoming	2018	330764	203139	29655	3464	12579	49028	FALSE	NA	NA	FALSE
Puerto Rico	2018	1877148	551892	187439	60536	748533	179526	NA	NA	NA	FALSE
Mississippi	2018	1702571	897335	118140	34612	138984	317522	FALSE	NA	NA	FALSE
Missouri	2018	3563548	2196830	283842	67808	212330	478561	FALSE	NA	NA	FALSE
Montana	2018	607555	320281	67041	7508	73885	70329	TRUE	2016-01-01	2016	TRUE
Nebraska	2018	1106720	697178	107393	9610	49053	130456	FALSE	NA	NA	FALSE
Nevada	2018	1805979	1011035	129176	22505	202184	272178	TRUE	2014-01-01	2014	TRUE
New Hampshire	2018	822707	553486	56782	15093	64943	68927	TRUE	2014-08-15	2014	TRUE
New Jersey	2018	5344092	3504133	377949	57896	526938	561302	TRUE	2014-01-01	2014	TRUE
New Mexico	2018	1186832	524482	69173	18081	263219	166014	TRUE	2014-01-01	2014	TRUE
New York	2018	11879398	6853153	884525	110008	2110845	910537	TRUE	2014-01-01	2014	TRUE
North Carolina	2018	6088356	3401557	549744	95175	418276	952993	FALSE	NA	NA	FALSE
North Dakota	2018	447813	282173	49603	3819	25774	42314	TRUE	2014-01-01	2014	TRUE
Ohio	2018	6840199	4206209	415851	104950	959890	602244	TRUE	2014-01-01	2014	TRUE
Oklahoma	2018	2249488	1204239	178785	43523	133328	460776	FALSE	NA	NA	FALSE
Oregon	2018	2498361	1411742	219168	27348	355102	256028	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2018	7529481	4740770	571123	87113	914950	567311	TRUE	2015-01-01	2015	TRUE
Rhode Island	2018	646561	395821	46941	6313	99523	37030	TRUE	2014-01-01	2014	TRUE
South Carolina	2018	2931158	1593637	247005	53362	237958	464442	FALSE	NA	NA	FALSE
South Dakota	2018	499538	290753	55685	5862	22137	70847	FALSE	NA	NA	FALSE
Tennessee	2018	3992463	2208082	306592	73904	381393	587202	FALSE	NA	NA	FALSE
Texas	2018	16903213	9130816	1312365	178035	856686	4062007	FALSE	NA	NA	FALSE
Vermont	2018	374662	226044	31380	4546	57624	21885	TRUE	2014-01-01	2014	TRUE
Utah	2018	1805828	1169507	198686	12059	74082	219616	FALSE	NA	NA	FALSE
Virginia	2018	5016132	3024936	416069	75487	242703	615925	TRUE	2019-01-01	2019	FALSE
Washington	2018	4528688	2735572	330721	42228	549837	423560	TRUE	2014-01-01	2014	TRUE
West Virginia	2018	1036946	559629	47752	30698	186639	99570	TRUE	2014-01-01	2014	TRUE
Alabama	2018	2835053	1578082	212067	60739	198032	438189	FALSE	NA	NA	FALSE
Alaska	2018	434047	211731	19505	2575	58905	71317	TRUE	2015-09-01	2015	TRUE
Arizona	2018	4071893	2159766	288110	49408	594583	594104	TRUE	2014-01-01	2014	TRUE
Arkansas	2018	1722857	888711	135234	42023	248689	207235	TRUE	2014-01-01	2014	TRUE
California	2018	23975809	13027417	2264296	206739	4283462	2468117	TRUE	2014-01-01	2014	TRUE
Colorado	2018	3465417	2045066	315072	29291	399303	352842	TRUE	2014-01-01	2014	TRUE
Delaware	2018	560194	335968	35720	9057	78483	45257	TRUE	2014-01-01	2014	TRUE
District of Columbia	2018	471920	285056	45561	2698	82266	19009	TRUE	2014-01-01	2014	TRUE
Connecticut	2018	2142660	1342776	165979	23177	299964	162746	TRUE	2014-01-01	2014	TRUE
Florida	2018	12216233	6072856	1621104	179324	899060	2338615	FALSE	NA	NA	FALSE
Georgia	2018	6238581	3513076	476407	85749	346538	1181480	FALSE	NA	NA	FALSE
Idaho	2018	987771	547149	116729	9953	46371	163093	FALSE	NA	NA	FALSE
Hawaii	2018	792376	487406	48526	6115	86083	46448	TRUE	2014-01-01	2014	TRUE
Illinois	2018	7610628	4790594	577779	81978	905121	754754	TRUE	2014-01-01	2014	TRUE
Indiana	2018	3916240	2455494	255141	56632	380091	429704	TRUE	2015-02-01	2015	TRUE
Iowa	2018	1816562	1176021	138234	12384	194024	124812	TRUE	2014-01-01	2014	TRUE
Kansas	2018	1664412	1039817	135757	19481	77340	210169	FALSE	NA	NA	FALSE
Kentucky	2018	2612594	1441709	145830	60130	474902	205249	TRUE	2014-01-01	2014	TRUE
Louisiana	2018	2696699	1357481	192566	52520	478090	319734	TRUE	2016-07-01	2016	TRUE
Maine	2018	791558	457750	74867	9272	67096	91304	TRUE	2019-01-10	2019	FALSE
Maryland	2018	3614811	2262735	258532	37666	399065	301999	TRUE	2014-01-01	2014	TRUE
Massachusetts	2018	4256789	2689083	337243	22943	672266	167178	TRUE	2014-01-01	2014	TRUE
Michigan	2018	5912762	3562200	425710	74694	867414	451451	TRUE	2014-04-01	2014	TRUE
Minnesota	2018	3319098	2207014	249736	28132	394588	196375	TRUE	2014-01-01	2014	TRUE
Mississippi	2019	1686473	872406	118574	33469	147625	329643	FALSE	NA	NA	FALSE
Missouri	2019	3551930	2202357	265889	61732	206521	503814	FALSE	NA	NA	FALSE
Montana	2019	608703	314844	69879	8293	74591	71605	TRUE	2016-01-01	2016	TRUE
Nebraska	2019	1101127	704156	102918	9000	46192	129061	FALSE	NA	NA	FALSE
Nevada	2019	1824973	1035348	126498	24202	197346	283393	TRUE	2014-01-01	2014	TRUE
New Hampshire	2019	821002	547709	64986	15006	63075	73378	TRUE	2014-08-15	2014	TRUE
New Jersey	2019	5298118	3447761	371853	65363	521176	589142	TRUE	2014-01-01	2014	TRUE
New Mexico	2019	1184202	518338	66773	18394	269365	173007	TRUE	2014-01-01	2014	TRUE
New York	2019	11747956	6894985	880931	111819	2053542	880352	TRUE	2014-01-01	2014	TRUE
North Carolina	2019	6114454	3404390	557599	89867	420715	1003728	FALSE	NA	NA	FALSE
North Dakota	2019	443254	279197	50379	2321	28669	36227	TRUE	2014-01-01	2014	TRUE
Ohio	2019	6805339	4239774	386085	106224	917662	617231	TRUE	2014-01-01	2014	TRUE
Oklahoma	2019	2250687	1219942	170321	45561	124015	462236	FALSE	NA	NA	FALSE
Oregon	2019	2503675	1465918	194992	27937	346294	257084	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2019	7480670	4721968	547767	95205	891063	587744	TRUE	2015-01-01	2015	TRUE
Rhode Island	2019	642936	397615	54402	7656	82137	37674	TRUE	2014-01-01	2014	TRUE
South Carolina	2019	2949479	1630083	241006	52820	228336	474507	FALSE	NA	NA	FALSE
South Dakota	2019	493709	293424	51670	5951	20780	70308	FALSE	NA	NA	FALSE
Tennessee	2019	4007815	2253726	311060	62819	381337	595524	FALSE	NA	NA	FALSE
Texas	2019	17052965	9364858	1244059	199125	788799	4173748	FALSE	NA	NA	FALSE
Vermont	2019	371655	218247	32117	5921	55735	24953	TRUE	2014-01-01	2014	TRUE
Utah	2019	1834209	1212222	188980	9241	73326	221826	FALSE	NA	NA	FALSE
Virginia	2019	4996695	3040046	342624	71539	345560	549752	TRUE	2019-01-01	2019	TRUE
Washington	2019	4552682	2820118	306227	44932	524702	433219	TRUE	2014-01-01	2014	TRUE
West Virginia	2019	1022840	551437	37373	22081	188678	102616	TRUE	2014-01-01	2014	TRUE
Wisconsin	2019	3413423	2279323	250974	28552	309391	274836	FALSE	NA	NA	FALSE
Wyoming	2019	329365	194796	31439	2982	16389	54698	FALSE	NA	NA	FALSE
Puerto Rico	2019	1873470	542014	194414	65384	711876	215622	NA	NA	NA	FALSE
Illinois	2019	7525174	4792134	524978	97409	850602	786561	TRUE	2014-01-01	2014	TRUE
Georgia	2019	6265771	3561541	461382	87012	350219	1186256	FALSE	NA	NA	FALSE
Idaho	2019	1006189	568304	115931	10092	48815	166451	FALSE	NA	NA	FALSE
Hawaii	2019	778070	487454	43124	6312	85195	46112	TRUE	2014-01-01	2014	TRUE
Indiana	2019	3920002	2461568	242125	56600	397065	454749	TRUE	2015-02-01	2015	TRUE
Iowa	2019	1815087	1186342	120966	15133	198175	131744	TRUE	2014-01-01	2014	TRUE
Kansas	2019	1652156	1048902	130909	16319	74379	216631	FALSE	NA	NA	FALSE
Kentucky	2019	2594796	1436710	138918	69967	443964	235356	TRUE	2014-01-01	2014	TRUE
Louisiana	2019	2668199	1327009	180923	52657	494088	349203	TRUE	2016-07-01	2016	TRUE
Maine	2019	788302	453327	67890	11153	74948	91594	TRUE	2019-01-10	2019	TRUE
Maryland	2019	3597998	2263340	251837	40765	393079	299865	TRUE	2014-01-01	2014	TRUE
Massachusetts	2019	4238020	2727248	326008	25930	622046	177270	TRUE	2014-01-01	2014	TRUE
Michigan	2019	5869012	3534460	418242	75194	826611	488009	TRUE	2014-04-01	2014	TRUE
Minnesota	2019	3310523	2234290	222725	28622	369711	227567	TRUE	2014-01-01	2014	TRUE
Connecticut	2019	2132251	1313653	147347	20646	319153	176514	TRUE	2014-01-01	2014	TRUE
Florida	2019	12249102	6135284	1604542	189681	831306	2391683	FALSE	NA	NA	FALSE
Alabama	2019	2833283	1597627	213447	62898	192895	424986	FALSE	NA	NA	FALSE
Alaska	2019	426835	219319	19205	3447	54968	67583	TRUE	2015-09-01	2015	TRUE
Arizona	2019	4126688	2229418	278507	50971	562862	637088	TRUE	2014-01-01	2014	TRUE
Arkansas	2019	1714037	882873	129982	41176	251470	224799	TRUE	2014-01-01	2014	TRUE
California	2019	23853893	13216474	2094480	200453	4055354	2611825	TRUE	2014-01-01	2014	TRUE
Colorado	2019	3503859	2118218	313232	28424	357413	375952	TRUE	2014-01-01	2014	TRUE
Delaware	2019	555236	335398	32433	6235	66802	51796	TRUE	2014-01-01	2014	TRUE
District of Columbia	2019	473010	297770	37930	2034	73956	21000	TRUE	2014-01-01	2014	TRUE
